subject	age	male	educationYears	transferP1	transferP2	ingroupPairing	perepkaP2	ngenikaP2
1707	21	0	6	0	0	0	1	0
1707	21	0	6	1	0	0	1	0
1707	21	0	6	2	2	0	1	0
1707	21	0	6	3	3	0	1	0
1707	21	0	6	4	4	0	1	0
1707	21	0	6	5	4	0	1	0
1708	29	1	6	0	0	0	1	0
1708	29	1	6	1	0	0	1	0
1708	29	1	6	2	0	0	1	0
1708	29	1	6	3	0	0	1	0
1708	29	1	6	4	0	0	1	0
1708	29	1	6	5	0	0	1	0
1709	24	1	10	0	4	0	1	0
1709	24	1	10	1	5	0	1	0
1709	24	1	10	2	5	0	1	0
1709	24	1	10	3	5	0	1	0
1709	24	1	10	4	5	0	1	0
1709	24	1	10	5	5	0	1	0
1710	30	0	10	0	0	1	0	1
1710	30	0	10	1	1	1	0	1
1710	30	0	10	2	2	1	0	1
1710	30	0	10	3	3	1	0	1
1710	30	0	10	4	4	1	0	1
1710	30	0	10	5	5	1	0	1
1711	18	1	8	0	0	1	0	1
1711	18	1	8	1	1	1	0	1
1711	18	1	8	2	2	1	0	1
1711	18	1	8	3	3	1	0	1
1711	18	1	8	4	4	1	0	1
1711	18	1	8	5	5	1	0	1
1712	19	1	2	0	0	1	0	1
1712	19	1	2	1	2	1	0	1
1712	19	1	2	2	2	1	0	1
1712	19	1	2	3	3	1	0	1
1712	19	1	2	4	4	1	0	1
1712	19	1	2	5	5	1	0	1
1801	30	1	6	0	4	1	1	0
1801	30	1	6	1	5	1	1	0
1801	30	1	6	2	4	1	1	0
1801	30	1	6	3	5	1	1	0
1801	30	1	6	4	5	1	1	0
1801	30	1	6	5	5	1	1	0
1802	25	0	5	0	2	1	1	0
1802	25	0	5	1	2	1	1	0
1802	25	0	5	2	2	1	1	0
1802	25	0	5	3	3	1	1	0
1802	25	0	5	4	4	1	1	0
1802	25	0	5	5	5	1	1	0
1803	29	1	3	0	5	1	1	0
1803	29	1	3	1	5	1	1	0
1803	29	1	3	2	5	1	1	0
1803	29	1	3	3	5	1	1	0
1803	29	1	3	4	5	1	1	0
1803	29	1	3	5	5	1	1	0
1804	26	1	6	0	0	0	0	1
1804	26	1	6	1	1	0	0	1
1804	26	1	6	2	2	0	0	1
1804	26	1	6	3	3	0	0	1
1804	26	1	6	4	4	0	0	1
1804	26	1	6	5	5	0	0	1
1805	18	1	8	0	0	0	0	1
1805	18	1	8	1	1	0	0	1
1805	18	1	8	2	2	0	0	1
1805	18	1	8	3	3	0	0	1
1805	18	1	8	4	4	0	0	1
1805	18	1	8	5	5	0	0	1
1806	34	1	6	0	0	0	0	1
1806	34	1	6	1	2	0	0	1
1806	34	1	6	2	2	0	0	1
1806	34	1	6	3	3	0	0	1
1806	34	1	6	4	4	0	0	1
1806	34	1	6	5	5	0	0	1
1807	25	1	4	0	0	0	1	0
1807	25	1	4	1	2	0	1	0
1807	25	1	4	2	4	0	1	0
1807	25	1	4	3	5	0	1	0
1807	25	1	4	4	5	0	1	0
1807	25	1	4	5	5	0	1	0
1808	55	1	6	0	0	0	1	0
1808	55	1	6	1	5	0	1	0
1808	55	1	6	2	5	0	1	0
1808	55	1	6	3	4	0	1	0
1808	55	1	6	4	5	0	1	0
1808	55	1	6	5	5	0	1	0
1809	22	1	6	0	0	0	1	0
1809	22	1	6	1	0	0	1	0
1809	22	1	6	2	0	0	1	0
1809	22	1	6	3	0	0	1	0
1809	22	1	6	4	0	0	1	0
1809	22	1	6	5	0	0	1	0
1810	20	0	1	0	0	1	0	1
1810	20	0	1	1	2	1	0	1
1810	20	0	1	2	4	1	0	1
1810	20	0	1	3	5	1	0	1
1810	20	0	1	4	5	1	0	1
1810	20	0	1	5	5	1	0	1
